 TTY,NAME,RXCUI,TTY,PARENT NDC FROM CDC,PARENT RXCUI,STRING MATCH
SBDG,MS Contin Pill,1184944,SBDG,43386054001,891881,
,,,,57866708001,,
,,,,54355367,,
BN,Roxicodone,219740,BN,10702000950,1049618,
BPCK,,,,10702000950,1049618,
GPCK,,,,10702000950,1049618,
MIN,,,,10702000950,1049618,
PIN,Oxycodone Hydrochloride,82063,PIN,10702000950,1049618,OXYCODONE
SBD,Oxycodone Hydrochloride 30 MG Oral Tablet [Roxicodone],1049620,SBD,10702000950,1049618,OXYCODONE
SBDC,Oxycodone Hydrochloride 30 MG [Roxicodone],1049619,SBDC,10702000950,1049618,OXYCODONE
SBDF,Oxycodone Oral Tablet [Roxicodone],368158,SBDF,10702000950,1049618,OXYCODONE
SCD,Oxycodone Hydrochloride 30 MG Oral Tablet,1049618,SCD,10702000950,1049618,OXYCODONE
SCDF,Oxycodone Oral Tablet,373198,SCDF,10702000950,1049618,OXYCODONE
SCDG,Oxycodone Oral Product,1161682,SCDG,10702000950,1049618,OXYCODONE
SCDG,Oxycodone Pill,1161683,SCDG,10702000950,1049618,OXYCODONE
SBDG,Roxicodone Oral Product,1182579,SBDG,10702000950,1049618,
SBDG,Roxicodone Pill,1182580,SBDG,10702000950,1049618,
BN,,,,527169891,997287,
BPCK,,,,527169891,997287,
GPCK,,,,527169891,997287,
MIN,,,,527169891,997287,
PIN,Codeine sulfate,91104,PIN,527169891,997287,CODEINE
SBD,,,,527169891,997287,
SBDC,,,,527169891,997287,
SBDF,,,,527169891,997287,
SCD,Codeine sulfate 30 MG Oral Tablet,997287,SCD,527169891,997287,CODEINE
SCDF,Codeine Oral Tablet,371613,SCDF,527169891,997287,CODEINE
SCDG,Codeine Oral Product,1155185,SCDG,527169891,997287,CODEINE
SCDG,Codeine Pill,1155186,SCDG,527169891,997287,CODEINE
SBDG,,,,527169891,997287,
BN,Duragesic,151678,BN,60505700602,245134,
BPCK,,,,60505700602,245134,
GPCK,,,,60505700602,245134,
MIN,,,,60505700602,245134,
PIN,,,,60505700602,245134,
SBD,72 HR Fentanyl 0.025 MG/HR Transdermal System [Duragesic],261184,SBD,60505700602,245134,FENTANYL
SBDC,Fentanyl 0.025 MG/HR [Duragesic],574418,SBDC,60505700602,245134,FENTANYL
SBDF,Fentanyl Transdermal System [Duragesic],1806275,SBDF,60505700602,245134,FENTANYL
SCD,72 HR Fentanyl 0.025 MG/HR Transdermal System,245134,SCD,60505700602,245134,FENTANYL
SCDF,Fentanyl Transdermal System,1806273,SCDF,60505700602,245134,FENTANYL
SCDG,Fentanyl Topical Product,1159060,SCDG,60505700602,245134,FENTANYL
SCDG,Fentanyl Transdermal Product,1294794,SCDG,60505700602,245134,FENTANYL
SBDG,Duragesic Topical Product,1168205,SBDG,60505700602,245134,
SBDG,Duragesic Transdermal Product,1296815,SBDG,60505700602,245134,
,,,,51079059571,,
BN,Dilaudid,224913,BN,63629379800,897702,
BPCK,,,,63629379800,897702,
GPCK,,,,63629379800,897702,
MIN,,,,63629379800,897702,
PIN,Hydromorphone Hydrochloride,203177,PIN,63629379800,897702,
SBD,Hydromorphone Hydrochloride 4 MG Oral Tablet [Dilaudid],897704,SBD,63629379800,897702,
SBDC,Hydromorphone Hydrochloride 4 MG [Dilaudid],897703,SBDC,63629379800,897702,
SBDF,Hydromorphone Oral Tablet [Dilaudid],368895,SBDF,63629379800,897702,
SCD,Hydromorphone Hydrochloride 4 MG Oral Tablet,897702,SCD,63629379800,897702,
SCDF,Hydromorphone Oral Tablet,370654,SCDF,63629379800,897702,
SCDG,Hydromorphone Oral Product,1164620,SCDG,63629379800,897702,
SCDG,Hydromorphone Pill,1164621,SCDG,63629379800,897702,
SBDG,Dilaudid Oral Product,1168870,SBDG,63629379800,897702,
SBDG,Dilaudid Pill,1168871,SBDG,63629379800,897702,
,,,,54458225,,
BN,Dolophine,202370,BN,63629378801,864718,
BN,Methadose,152751,BN,63629378801,864718,
BPCK,,,,63629378801,864718,
GPCK,,,,63629378801,864718,
MIN,,,,63629378801,864718,
PIN,Methadone Hydrochloride,218337,PIN,63629378801,864718,
SBD,Methadone Hydrochloride 5 MG Oral Tablet [Dolophine],864720,SBD,63629378801,864718,
SBD,Methadone Hydrochloride 5 MG Oral Tablet [Methadose],864737,SBD,63629378801,864718,
SBDC,Methadone Hydrochloride 5 MG [Dolophine],864719,SBDC,63629378801,864718,
SBDC,Methadone Hydrochloride 5 MG [Methadose],864736,SBDC,63629378801,864718,
SBDF,Methadone Oral Tablet [Methadose],368846,SBDF,63629378801,864718,
SBDF,Methadone Oral Tablet [Dolophine],368847,SBDF,63629378801,864718,
SCD,Methadone Hydrochloride 5 MG Oral Tablet,864718,SCD,63629378801,864718,
SCDF,Methadone Oral Tablet,372808,SCDF,63629378801,864718,
SCDG,Methadone Oral Product,1161621,SCDG,63629378801,864718,
SCDG,Methadone Pill,1161622,SCDG,63629378801,864718,
SBDG,Dolophine Oral Product,1174574,SBDG,63629378801,864718,
SBDG,Dolophine Pill,1174575,SBDG,63629378801,864718,
SBDG,Methadose Oral Product,1185659,SBDG,63629378801,864718,
SBDG,Methadose Pill,1185660,SBDG,63629378801,864718,
BN,Duragesic,151678,BN,781724355,197696,
BPCK,,,,781724355,197696,
GPCK,,,,781724355,197696,
MIN,,,,781724355,197696,
PIN,,,,781724355,197696,
SBD,72 HR Fentanyl 0.075 MG/HR Transdermal System [Duragesic],261186,SBD,781724355,197696,FENTANYL
SBDC,Fentanyl 0.075 MG/HR [Duragesic],574420,SBDC,781724355,197696,FENTANYL
SBDF,Fentanyl Transdermal System [Duragesic],1806275,SBDF,781724355,197696,FENTANYL
SCD,72 HR Fentanyl 0.075 MG/HR Transdermal System,197696,SCD,781724355,197696,FENTANYL
SCDF,Fentanyl Transdermal System,1806273,SCDF,781724355,197696,FENTANYL
SCDG,Fentanyl Topical Product,1159060,SCDG,781724355,197696,FENTANYL
SCDG,Fentanyl Transdermal Product,1294794,SCDG,781724355,197696,FENTANYL
SBDG,Duragesic Topical Product,1168205,SBDG,781724355,197696,
SBDG,Duragesic Transdermal Product,1296815,SBDG,781724355,197696,
BN,Oxyfast,218987,BN,54039344,1049615,
BPCK,,,,54039344,1049615,
GPCK,,,,54039344,1049615,
MIN,,,,54039344,1049615,
PIN,Oxycodone Hydrochloride,82063,PIN,54039344,1049615,OXYCODONE
SBD,Oxycodone Hydrochloride 20 MG/ML Oral Solution [Oxyfast],1050409,SBD,54039344,1049615,OXYCODONE
SBDC,Oxycodone Hydrochloride 20 MG/ML [Oxyfast],1050408,SBDC,54039344,1049615,OXYCODONE
SBDF,Oxycodone Oral Solution [Oxyfast],364080,SBDF,54039344,1049615,OXYCODONE
SCD,Oxycodone Hydrochloride 20 MG/ML Oral Solution,1049615,SCD,54039344,1049615,OXYCODONE
SCDF,Oxycodone Oral Solution,373196,SCDF,54039344,1049615,OXYCODONE
SCDG,Oxycodone Oral Liquid Product,1161681,SCDG,54039344,1049615,OXYCODONE
SCDG,Oxycodone Oral Product,1161682,SCDG,54039344,1049615,OXYCODONE
SBDG,Oxyfast Oral Liquid Product,1177027,SBDG,54039344,1049615,
SBDG,Oxyfast Oral Product,1177028,SBDG,54039344,1049615,
,,,,574704020,,
BN,Dilaudid,224913,BN,54038663,897657,
BPCK,,,,54038663,897657,
GPCK,,,,54038663,897657,
MIN,,,,54038663,897657,
PIN,Hydromorphone Hydrochloride,203177,PIN,54038663,897657,
SBD,Hydromorphone Hydrochloride 1 MG/ML Oral Solution [Dilaudid],897658,SBD,54038663,897657,
SBDC,Hydromorphone Hydrochloride 1 MG/ML [Dilaudid],897654,SBDC,54038663,897657,
SBDF,Hydromorphone Oral Solution [Dilaudid],544565,SBDF,54038663,897657,
SCD,Hydromorphone Hydrochloride 1 MG/ML Oral Solution,897657,SCD,54038663,897657,
SCDF,Hydromorphone Oral Solution,370653,SCDF,54038663,897657,
SCDG,Hydromorphone Oral Liquid Product,1164619,SCDG,54038663,897657,
SCDG,Hydromorphone Oral Product,1164620,SCDG,54038663,897657,
SBDG,Dilaudid Oral Liquid Product,1168869,SBDG,54038663,897657,
SBDG,Dilaudid Oral Product,1168870,SBDG,54038663,897657,
,,,,54854816,,
BN,Roxicodone,219740,BN,378611201,1049621,
BN,Oxecta,1113310,BN,378611201,1049621,
BN,Oxaydo,1664443,BN,378611201,1049621,
BPCK,,,,378611201,1049621,
GPCK,,,,378611201,1049621,
MIN,,,,378611201,1049621,
PIN,Oxycodone Hydrochloride,82063,PIN,378611201,1049621,OXYCODONE
SBD,Oxycodone Hydrochloride 5 MG Oral Tablet [Roxicodone],1049623,SBD,378611201,1049621,OXYCODONE
SBD,Oxycodone Hydrochloride 5 MG Oral Tablet [Oxecta],1113313,SBD,378611201,1049621,OXYCODONE
SBD,Oxycodone Hydrochloride 5 MG Oral Tablet [Oxaydo],1664448,SBD,378611201,1049621,OXYCODONE
SBDC,Oxycodone Hydrochloride 5 MG [Roxicodone],1049622,SBDC,378611201,1049621,OXYCODONE
SBDC,Oxycodone Hydrochloride 5 MG [Oxecta],1113311,SBDC,378611201,1049621,OXYCODONE
SBDC,Oxycodone Hydrochloride 5 MG [Oxaydo],1664444,SBDC,378611201,1049621,OXYCODONE
SBDF,Oxycodone Oral Tablet [Roxicodone],368158,SBDF,378611201,1049621,OXYCODONE
SBDF,Oxycodone Oral Tablet [Oxecta],1113312,SBDF,378611201,1049621,OXYCODONE
SBDF,Oxycodone Oral Tablet [Oxaydo],1664445,SBDF,378611201,1049621,OXYCODONE
SCD,Oxycodone Hydrochloride 5 MG Oral Tablet,1049621,SCD,378611201,1049621,OXYCODONE
SCDF,Oxycodone Oral Tablet,373198,SCDF,378611201,1049621,OXYCODONE
SCDG,Oxycodone Oral Product,1161682,SCDG,378611201,1049621,OXYCODONE
SCDG,Oxycodone Pill,1161683,SCDG,378611201,1049621,OXYCODONE
SBDG,Roxicodone Oral Product,1182579,SBDG,378611201,1049621,
SBDG,Roxicodone Pill,1182580,SBDG,378611201,1049621,
SBDG,Oxecta Oral Product,1185754,SBDG,378611201,1049621,
SBDG,Oxecta Pill,1185755,SBDG,378611201,1049621,
SBDG,Oxaydo Oral Product,1664446,SBDG,378611201,1049621,
SBDG,Oxaydo Pill,1664447,SBDG,378611201,1049621,
BN,,,,574722406,897749,
BPCK,,,,574722406,897749,
GPCK,,,,574722406,897749,
MIN,,,,574722406,897749,
PIN,Hydromorphone Hydrochloride,203177,PIN,574722406,897749,
SBD,,,,574722406,897749,
SBDC,,,,574722406,897749,
SBDF,,,,574722406,897749,
SCD,Hydromorphone Hydrochloride 3 MG Rectal Suppository,897749,SCD,574722406,897749,
SCDF,Hydromorphone Rectal Suppository,370655,SCDF,574722406,897749,
SCDG,Hydromorphone Rectal Product,1164622,SCDG,574722406,897749,
SBDG,,,,574722406,897749,
BN,Avinza,352452,BN,228309011,892342,
BPCK,,,,228309011,892342,
GPCK,,,,228309011,892342,
MIN,,,,228309011,892342,
PIN,Morphine Sulfate,30236,PIN,228309011,892342,MORPHINE
SBD,24 HR Morphine Sulfate 30 MG Extended Release Oral Capsule [Avinza],892344,SBD,228309011,892342,MORPHINE
SBDC,Morphine Sulfate 30 MG [Avinza],892343,SBDC,228309011,892342,MORPHINE
SBDF,Morphine Extended Release Oral Capsule [Avinza],367140,SBDF,228309011,892342,MORPHINE
SCD,24 HR Morphine Sulfate 30 MG Extended Release Oral Capsule,892342,SCD,228309011,892342,MORPHINE
SCDF,Morphine Extended Release Oral Capsule,374654,SCDF,228309011,892342,MORPHINE
SCDG,Morphine Oral Product,1156363,SCDG,228309011,892342,MORPHINE
SCDG,Morphine Pill,1156364,SCDG,228309011,892342,MORPHINE
SBDG,Avinza Oral Product,1175693,SBDG,228309011,892342,
SBDG,Avinza Pill,1175694,SBDG,228309011,892342,
BN,Avinza,352452,BN,228309111,892349,
BPCK,,,,228309111,892349,
GPCK,,,,228309111,892349,
MIN,,,,228309111,892349,
PIN,Morphine Sulfate,30236,PIN,228309111,892349,MORPHINE
SBD,24 HR Morphine Sulfate 60 MG Extended Release Oral Capsule [Avinza],892351,SBD,228309111,892349,MORPHINE
SBDC,Morphine Sulfate 60 MG [Avinza],892350,SBDC,228309111,892349,MORPHINE
SBDF,Morphine Extended Release Oral Capsule [Avinza],367140,SBDF,228309111,892349,MORPHINE
SCD,24 HR Morphine Sulfate 60 MG Extended Release Oral Capsule,892349,SCD,228309111,892349,MORPHINE
SCDF,Morphine Extended Release Oral Capsule,374654,SCDF,228309111,892349,MORPHINE
SCDG,Morphine Oral Product,1156363,SCDG,228309111,892349,MORPHINE
SCDG,Morphine Pill,1156364,SCDG,228309111,892349,MORPHINE
SBDG,Avinza Oral Product,1175693,SBDG,228309111,892349,
SBDG,Avinza Pill,1175694,SBDG,228309111,892349,
BN,Avinza,352452,BN,228309211,892355,
BPCK,,,,228309211,892355,
GPCK,,,,228309211,892355,
MIN,,,,228309211,892355,
PIN,Morphine Sulfate,30236,PIN,228309211,892355,MORPHINE
SBD,24 HR Morphine Sulfate 90 MG Extended Release Oral Capsule [Avinza],892357,SBD,228309211,892355,MORPHINE
SBDC,Morphine Sulfate 90 MG [Avinza],892356,SBDC,228309211,892355,MORPHINE
SBDF,Morphine Extended Release Oral Capsule [Avinza],367140,SBDF,228309211,892355,MORPHINE
SCD,24 HR Morphine Sulfate 90 MG Extended Release Oral Capsule,892355,SCD,228309211,892355,MORPHINE
SCDF,Morphine Extended Release Oral Capsule,374654,SCDF,228309211,892355,MORPHINE
SCDG,Morphine Oral Product,1156363,SCDG,228309211,892355,MORPHINE
SCDG,Morphine Pill,1156364,SCDG,228309211,892355,MORPHINE
SBDG,Avinza Oral Product,1175693,SBDG,228309211,892355,
SBDG,Avinza Pill,1175694,SBDG,228309211,892355,
BN,Avinza,352452,BN,228309311,892297,
BPCK,,,,228309311,892297,
GPCK,,,,228309311,892297,
MIN,,,,228309311,892297,
PIN,Morphine Sulfate,30236,PIN,228309311,892297,MORPHINE
SBD,24 HR Morphine Sulfate 120 MG Extended Release Oral Capsule [Avinza],892299,SBD,228309311,892297,MORPHINE
SBDC,Morphine Sulfate 120 MG [Avinza],892298,SBDC,228309311,892297,MORPHINE
SBDF,Morphine Extended Release Oral Capsule [Avinza],367140,SBDF,228309311,892297,MORPHINE
SCD,24 HR Morphine Sulfate 120 MG Extended Release Oral Capsule,892297,SCD,228309311,892297,MORPHINE
SCDF,Morphine Extended Release Oral Capsule,374654,SCDF,228309311,892297,MORPHINE
SCDG,Morphine Oral Product,1156363,SCDG,228309311,892297,MORPHINE
SCDG,Morphine Pill,1156364,SCDG,228309311,892297,MORPHINE
SBDG,Avinza Oral Product,1175693,SBDG,228309311,892297,
SBDG,Avinza Pill,1175694,SBDG,228309311,892297,
BN,Duragesic,151678,BN,35356006205,577057,
BPCK,,,,35356006205,577057,
GPCK,,,,35356006205,577057,
MIN,,,,35356006205,577057,
PIN,,,,35356006205,577057,
SBD,72 HR Fentanyl 0.012 MG/HR Transdermal System [Duragesic],583490,SBD,35356006205,577057,FENTANYL
SBDC,Fentanyl 0.012 MG/HR [Duragesic],583489,SBDC,35356006205,577057,FENTANYL
SBDF,Fentanyl Transdermal System [Duragesic],1806275,SBDF,35356006205,577057,FENTANYL
SCD,72 HR Fentanyl 0.012 MG/HR Transdermal System,577057,SCD,35356006205,577057,FENTANYL
SCDF,Fentanyl Transdermal System,1806273,SCDF,35356006205,577057,FENTANYL
SCDG,Fentanyl Topical Product,1159060,SCDG,35356006205,577057,FENTANYL
SCDG,Fentanyl Transdermal Product,1294794,SCDG,35356006205,577057,FENTANYL
SBDG,Duragesic Topical Product,1168205,SBDG,35356006205,577057,
SBDG,Duragesic Transdermal Product,1296815,SBDG,35356006205,577057,
BN,Ultram,220606,BN,378415293,833709,
BPCK,,,,378415293,833709,
GPCK,,,,378415293,833709,
MIN,,,,378415293,833709,
PIN,tramadol hydrochloride,82110,PIN,378415293,833709,
SBD,24 HR tramadol hydrochloride 100 MG Extended Release Oral Tablet [Ultram],845314,SBD,378415293,833709,
SBDC,tramadol hydrochloride 100 MG [Ultram],836399,SBDC,378415293,833709,
SBDF,Tramadol Extended Release Oral Tablet [Ultram],616518,SBDF,378415293,833709,
SCD,24 HR tramadol hydrochloride 100 MG Extended Release Oral Tablet,833709,SCD,378415293,833709,
SCDF,Tramadol Extended Release Oral Tablet,374174,SCDF,378415293,833709,
SCDG,Tramadol Oral Product,1157662,SCDG,378415293,833709,
SCDG,Tramadol Pill,1157663,SCDG,378415293,833709,
SBDG,Ultram Oral Product,1187716,SBDG,378415293,833709,
SBDG,Ultram Pill,1187717,SBDG,378415293,833709,
BN,Ultram,220606,BN,54868426300,833711,
BPCK,,,,54868426300,833711,
GPCK,,,,54868426300,833711,
MIN,,,,54868426300,833711,
PIN,tramadol hydrochloride,82110,PIN,54868426300,833711,
SBD,24 HR tramadol hydrochloride 200 MG Extended Release Oral Tablet [Ultram],845315,SBD,54868426300,833711,
SBDC,tramadol hydrochloride 200 MG [Ultram],836402,SBDC,54868426300,833711,
SBDF,Tramadol Extended Release Oral Tablet [Ultram],616518,SBDF,54868426300,833711,
SCD,24 HR tramadol hydrochloride 200 MG Extended Release Oral Tablet,833711,SCD,54868426300,833711,
SCDF,Tramadol Extended Release Oral Tablet,374174,SCDF,54868426300,833711,
SCDG,Tramadol Oral Product,1157662,SCDG,54868426300,833711,
SCDG,Tramadol Pill,1157663,SCDG,54868426300,833711,
SBDG,Ultram Oral Product,1187716,SBDG,54868426300,833711,
SBDG,Ultram Pill,1187717,SBDG,54868426300,833711,
BN,Ultram,220606,BN,10147090303,833713,
BPCK,,,,10147090303,833713,
GPCK,,,,10147090303,833713,
MIN,,,,10147090303,833713,
PIN,tramadol hydrochloride,82110,PIN,10147090303,833713,
SBD,24 HR tramadol hydrochloride 300 MG Extended Release Oral Tablet [Ultram],845316,SBD,10147090303,833713,
SBDC,tramadol hydrochloride 300 MG [Ultram],836405,SBDC,10147090303,833713,
SBDF,Tramadol Extended Release Oral Tablet [Ultram],616518,SBDF,10147090303,833713,
SCD,24 HR tramadol hydrochloride 300 MG Extended Release Oral Tablet,833713,SCD,10147090303,833713,
SCDF,Tramadol Extended Release Oral Tablet,374174,SCDF,10147090303,833713,
SCDG,Tramadol Oral Product,1157662,SCDG,10147090303,833713,
SCDG,Tramadol Pill,1157663,SCDG,10147090303,833713,
SBDG,Ultram Oral Product,1187716,SBDG,10147090303,833713,
SBDG,Ultram Pill,1187717,SBDG,10147090303,833713,
BN,Opana,643147,BN,35356096730,977939,
BPCK,,,,35356096730,977939,
GPCK,,,,35356096730,977939,
MIN,,,,35356096730,977939,
PIN,Oxymorphone Hydrochloride,82064,PIN,35356096730,977939,OXYMORPHONE
SBD,Oxymorphone Hydrochloride 5 MG Oral Tablet [Opana],977940,SBD,35356096730,977939,OXYMORPHONE
SBDC,Oxymorphone Hydrochloride 5 MG [Opana],977924,SBDC,35356096730,977939,OXYMORPHONE
SBDF,Oxymorphone Oral Tablet [Opana],643157,SBDF,35356096730,977939,OXYMORPHONE
SCD,Oxymorphone Hydrochloride 5 MG Oral Tablet,977939,SCD,35356096730,977939,OXYMORPHONE
SCDF,Oxymorphone Oral Tablet,643113,SCDF,35356096730,977939,OXYMORPHONE
SCDG,Oxymorphone Oral Product,1162252,SCDG,35356096730,977939,OXYMORPHONE
SCDG,Oxymorphone Pill,1162253,SCDG,35356096730,977939,OXYMORPHONE
SBDG,Opana Oral Product,1182301,SBDG,35356096730,977939,
SBDG,Opana Pill,1182302,SBDG,35356096730,977939,
BN,Opana,643147,BN,93586201,977942,
BPCK,,,,93586201,977942,
GPCK,,,,93586201,977942,
MIN,,,,93586201,977942,
PIN,Oxymorphone Hydrochloride,82064,PIN,93586201,977942,OXYMORPHONE
SBD,Oxymorphone Hydrochloride 10 MG Oral Tablet [Opana],977943,SBD,93586201,977942,OXYMORPHONE
SBDC,Oxymorphone Hydrochloride 10 MG [Opana],977875,SBDC,93586201,977942,OXYMORPHONE
SBDF,Oxymorphone Oral Tablet [Opana],643157,SBDF,93586201,977942,OXYMORPHONE
SCD,Oxymorphone Hydrochloride 10 MG Oral Tablet,977942,SCD,93586201,977942,OXYMORPHONE
SCDF,Oxymorphone Oral Tablet,643113,SCDF,93586201,977942,OXYMORPHONE
SCDG,Oxymorphone Oral Product,1162252,SCDG,93586201,977942,OXYMORPHONE
SCDG,Oxymorphone Pill,1162253,SCDG,93586201,977942,OXYMORPHONE
SBDG,Opana Oral Product,1182301,SBDG,93586201,977942,
SBDG,Opana Pill,1182302,SBDG,93586201,977942,
BN,Opana,643147,BN,115123101,977923,
BPCK,,,,115123101,977923,
GPCK,,,,115123101,977923,
MIN,,,,115123101,977923,
PIN,Oxymorphone Hydrochloride,82064,PIN,115123101,977923,OXYMORPHONE
SBD,12 HR Oxymorphone Hydrochloride 5 MG Extended Release Oral Tablet [Opana],977925,SBD,115123101,977923,OXYMORPHONE
SBDC,Oxymorphone Hydrochloride 5 MG [Opana],977924,SBDC,115123101,977923,OXYMORPHONE
SBDF,Oxymorphone Extended Release Oral Tablet [Opana],643149,SBDF,115123101,977923,OXYMORPHONE
SCD,12 HR Oxymorphone Hydrochloride 5 MG Extended Release Oral Tablet,977923,SCD,115123101,977923,OXYMORPHONE
SCDF,Oxymorphone Extended Release Oral Tablet,643115,SCDF,115123101,977923,OXYMORPHONE
SCDG,Oxymorphone Oral Product,1162252,SCDG,115123101,977923,OXYMORPHONE
SCDG,Oxymorphone Pill,1162253,SCDG,115123101,977923,OXYMORPHONE
SBDG,Opana Oral Product,1182301,SBDG,115123101,977923,
SBDG,Opana Pill,1182302,SBDG,115123101,977923,
BN,Opana,643147,BN,228322811,977874,
BPCK,,,,228322811,977874,
GPCK,,,,228322811,977874,
MIN,,,,228322811,977874,
PIN,Oxymorphone Hydrochloride,82064,PIN,228322811,977874,OXYMORPHONE
SBD,12 HR Oxymorphone Hydrochloride 10 MG Extended Release Oral Tablet [Opana],977876,SBD,228322811,977874,OXYMORPHONE
SBDC,Oxymorphone Hydrochloride 10 MG [Opana],977875,SBDC,228322811,977874,OXYMORPHONE
SBDF,Oxymorphone Extended Release Oral Tablet [Opana],643149,SBDF,228322811,977874,OXYMORPHONE
SCD,12 HR Oxymorphone Hydrochloride 10 MG Extended Release Oral Tablet,977874,SCD,228322811,977874,OXYMORPHONE
SCDF,Oxymorphone Extended Release Oral Tablet,643115,SCDF,228322811,977874,OXYMORPHONE
SCDG,Oxymorphone Oral Product,1162252,SCDG,228322811,977874,OXYMORPHONE
SCDG,Oxymorphone Pill,1162253,SCDG,228322811,977874,OXYMORPHONE
SBDG,Opana Oral Product,1182301,SBDG,228322811,977874,
SBDG,Opana Pill,1182302,SBDG,228322811,977874,
BN,Opana,643147,BN,228322906,977902,
BPCK,,,,228322906,977902,
GPCK,,,,228322906,977902,
MIN,,,,228322906,977902,
PIN,Oxymorphone Hydrochloride,82064,PIN,228322906,977902,OXYMORPHONE
SBD,12 HR Oxymorphone Hydrochloride 20 MG Extended Release Oral Tablet [Opana],977904,SBD,228322906,977902,OXYMORPHONE
SBDC,Oxymorphone Hydrochloride 20 MG [Opana],977903,SBDC,228322906,977902,OXYMORPHONE
SBDF,Oxymorphone Extended Release Oral Tablet [Opana],643149,SBDF,228322906,977902,OXYMORPHONE
SCD,12 HR Oxymorphone Hydrochloride 20 MG Extended Release Oral Tablet,977902,SCD,228322906,977902,OXYMORPHONE
SCDF,Oxymorphone Extended Release Oral Tablet,643115,SCDF,228322906,977902,OXYMORPHONE
SCDG,Oxymorphone Oral Product,1162252,SCDG,228322906,977902,OXYMORPHONE
SCDG,Oxymorphone Pill,1162253,SCDG,228322906,977902,OXYMORPHONE
SBDG,Opana Oral Product,1182301,SBDG,228322906,977902,
SBDG,Opana Pill,1182302,SBDG,228322906,977902,
BN,Opana,643147,BN,115123413,977915,
BPCK,,,,115123413,977915,
GPCK,,,,115123413,977915,
MIN,,,,115123413,977915,
PIN,Oxymorphone Hydrochloride,82064,PIN,115123413,977915,OXYMORPHONE
SBD,12 HR Oxymorphone Hydrochloride 40 MG Extended Release Oral Tablet [Opana],977917,SBD,115123413,977915,OXYMORPHONE
SBDC,Oxymorphone Hydrochloride 40 MG [Opana],977916,SBDC,115123413,977915,OXYMORPHONE
SBDF,Oxymorphone Extended Release Oral Tablet [Opana],643149,SBDF,115123413,977915,OXYMORPHONE
SCD,12 HR Oxymorphone Hydrochloride 40 MG Extended Release Oral Tablet,977915,SCD,115123413,977915,OXYMORPHONE
SCDF,Oxymorphone Extended Release Oral Tablet,643115,SCDF,115123413,977915,OXYMORPHONE
SCDG,Oxymorphone Oral Product,1162252,SCDG,115123413,977915,OXYMORPHONE
SCDG,Oxymorphone Pill,1162253,SCDG,115123413,977915,OXYMORPHONE
SBDG,Opana Oral Product,1182301,SBDG,115123413,977915,
SBDG,Opana Pill,1182302,SBDG,115123413,977915,
BN,Kadian,203240,BN,228350311,892345,
BPCK,,,,228350311,892345,
GPCK,,,,228350311,892345,
MIN,,,,228350311,892345,
PIN,Morphine Sulfate,30236,PIN,228350311,892345,MORPHINE
SBD,Morphine Sulfate 30 MG Extended Release Oral Capsule [Kadian],892658,SBD,228350311,892345,MORPHINE
SBDC,Morphine Sulfate 30 MG [Kadian],892657,SBDC,228350311,892345,MORPHINE
SBDF,Morphine Extended Release Oral Capsule [Kadian],366919,SBDF,228350311,892345,MORPHINE
SCD,Morphine Sulfate 30 MG Extended Release Oral Capsule,892345,SCD,228350311,892345,MORPHINE
SCDF,Morphine Extended Release Oral Capsule,374654,SCDF,228350311,892345,MORPHINE
SCDG,Morphine Oral Product,1156363,SCDG,228350311,892345,MORPHINE
SCDG,Morphine Pill,1156364,SCDG,228350311,892345,MORPHINE
SBDG,Kadian Oral Product,1168543,SBDG,228350311,892345,
SBDG,Kadian Pill,1168544,SBDG,228350311,892345,
BN,Kadian,203240,BN,115128001,892352,
BPCK,,,,115128001,892352,
GPCK,,,,115128001,892352,
MIN,,,,115128001,892352,
PIN,Morphine Sulfate,30236,PIN,115128001,892352,MORPHINE
SBD,Morphine Sulfate 60 MG Extended Release Oral Capsule [Kadian],894805,SBD,115128001,892352,MORPHINE
SBDC,Morphine Sulfate 60 MG [Kadian],894804,SBDC,115128001,892352,MORPHINE
SBDF,Morphine Extended Release Oral Capsule [Kadian],366919,SBDF,115128001,892352,MORPHINE
SCD,Morphine Sulfate 60 MG Extended Release Oral Capsule,892352,SCD,115128001,892352,MORPHINE
SCDF,Morphine Extended Release Oral Capsule,374654,SCDF,115128001,892352,MORPHINE
SCDG,Morphine Oral Product,1156363,SCDG,115128001,892352,MORPHINE
SCDG,Morphine Pill,1156364,SCDG,115128001,892352,MORPHINE
SBDG,Kadian Oral Product,1168543,SBDG,115128001,892352,
SBDG,Kadian Pill,1168544,SBDG,115128001,892352,
BN,Kadian,203240,BN,228350606,894814,
BPCK,,,,228350606,894814,
GPCK,,,,228350606,894814,
MIN,,,,228350606,894814,
PIN,Morphine Sulfate,30236,PIN,228350606,894814,MORPHINE
SBD,Morphine Sulfate 80 MG Extended Release Oral Capsule [Kadian],894816,SBD,228350606,894814,MORPHINE
SBDC,Morphine Sulfate 80 MG [Kadian],894815,SBDC,228350606,894814,MORPHINE
SBDF,Morphine Extended Release Oral Capsule [Kadian],366919,SBDF,228350606,894814,MORPHINE
SCD,Morphine Sulfate 80 MG Extended Release Oral Capsule,894814,SCD,228350606,894814,MORPHINE
SCDF,Morphine Extended Release Oral Capsule,374654,SCDF,228350606,894814,MORPHINE
SCDG,Morphine Oral Product,1156363,SCDG,228350606,894814,MORPHINE
